input triples,reference text,generated text
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Williamsburg, Virginia);(Alan B. Miller Hall,owner,College of William & Mary)","""The Mason School of Business are the current tenants of Alan B Miller Hall, located in Williamsburg, Virginia, designed by Robert A.M. Stern and owned by the College of William and Mary."";""The architect of Alan B Miller Hall, situated in Williamsburg, Virginia, is Robert A M Stern. The Mason School of Business are the current tenants, however the Hall is actually owned by The College of William and Mary.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is currently tenanted by Mason School of Business, is located in Williamsburg, Virginia, and is owned by College of William & Mary."
"(Alan B. Miller Hall,completionDate,2009-06-01);(Alan B. Miller Hall,location,Virginia)","""Alan B. Miller Hall in Virginia was completed on 1st June 2009."";""Alan B. Miller Hall, located in Virginia, was completed on June 1st, 2009."";""The Alan B. Miller Hall which is located in Virginia was completed on 1st June 2009.""",Alan B. Miller Hall was completed in 2009-06-01 and is located in Virginia.
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,completionDate,2009-06-01);(Mason School of Business,country,United States)","""The construction of Alan B. Miller Hall lasted from March 30th, 2007 to June 1st, 2009. Robert A. M. Stern designed the building. Alan B. Miller Hall is located at 101 Ukrop Way, and the current tenant is the Mason School of Business, which is located in the United States."";""The construction of the Alan B. Miller Hall lasted from March 30th, 2007 until June 1st, 2009. Robert A. M. Stern designed the building, which is located at 101 Ukrop Way. The current tenant is the Mason School of Business, located in the United States."";""Construction on the Alan B. Miller Hall lasted from March 30th, 2007 until June 1st, 2009. Robert A. M. Stern is the architect of the building. The Mason School of Business, located in the United States, is the current tenant. The Alan B. Miller Hall is located at 101 Ukrop Way.""","Alan B. Miller Hall was built between 30 March 2007 and 2009-06-01, and was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, is located in United States."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Virginia);(Alan B. Miller Hall,tenant,Mason School of Business);(Alan B. Miller Hall,owner,College of William & Mary)","""The Mason School of Business are the current tenants of Alan B Miller Hall which is situated in Virginia at 101 Ukrop Way. The architect of the Alan B Miller Hall was Robert A M Stern and the building began construction on the 30th of March 2007. The Mason School of Business is a tenant of the hall and The College of William and Mary own it."";""Designed by Robert A.M. Stern, with construction beginning March 30, 2007, Alan B. Miller Hall is located at 101 Ukrop Way in Virginia, is owned by the College of William and Mary, and currently houses the Mason School of Business as tenants."";""The College of William and Mary's Alan B. Miller Hall was designed by Robert A.M. stern, and its construction began on March 30, 2007. The building, located at 101 Ukrop Way on their Virginia campus, is used by the Mason School of Business.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, started construction in 30 March 2007, is currently tenanted by Mason School of Business, is located in Virginia, is leased to Mason School of Business, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Virginia,country,United States);(Alan B. Miller Hall,location,Virginia);(Alan B. Miller Hall,owner,College of William & Mary)","""The Mason School of Business are the current tenants of Alan B Miller Hall (located in Virginia, United States). The college of William and Mary is the owner. The Hall building start date was in 30th March 2007, designed by Robert A.M. Stern. The address of the Hall is """"101 Ukrop Way""""."";""The architect of the Alan B Miller Hall at 101 Ukrop Way in Virginia, USA, is Robert A M Stern. The current occupants of the hall, which is owned by The College of William and Mary, are The Mason School of Business and it began construction on the 30th of March, 2007."";""The Alan B Miller Hall is located in Virginia in the USA at 101 Ukrop Way. The College of William and Mary currently own the hall which began construction on 30/03/2007 and was designed by Robert A.M. Stern. The Mason School of Business are the current tenants.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, started construction in 30 March 2007, is currently tenanted by Mason School of Business,  which is located in United States, is located in Virginia, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,owner,College of William & Mary)","""Alan B. Miller Hall (designed by Robert A.M. Stern) is owned by The College of William and Mary and the current tenants are the Mason School of business."";""Alan B. Miller Hall was architected by Robert A.M. Stern and is owned by The College of William Mary and home to The Mason School of Business."";""Alan B. Miller Hall owned by The College of William and Mary is built by Robert A M Stern, Mason School of Business is the current tenant.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is currently tenanted by Mason School of Business, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Virginia);(Alan B. Miller Hall,owner,College of William & Mary);(College of William & Mary,chancellor,Robert Gates)","""Alan B. Miller Hall, located at 101 Ukrop Way in Virginia, currently housing the Mason School of Business, was designed by Robert A.M. Stern (building start date: March 30, 2007) and is owned by the College of William and Mary (chancellor: Robert Gates)."";""The Mason School of Business are the current tenants of Alan B Miller Hall at 101 Ukrop Way, which was designed by Robert A M Stern and is situated in Virginia. The building is owned by The College of William and Mary whose chancellor is Robert Gates. The building began construction on 30/03/2007."";""Alan B. Miller Hall, located at 101 Ukrop Way in Virginia and designed by Robert A.M. Stern with a project start date of March 30, 2007, is currently occupied by the Mason School of Business and owned by the College of William and Mary (chancellor: Robert Gates).""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, started construction in 30 March 2007, is currently tenanted by Mason School of Business, is located in Virginia, is owned by College of William & Mary, and  which has Robert Gates as its chancellor."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,location,Williamsburg, Virginia);(Mason School of Business,country,United States)","""The architect of Alan B Miller Hall, at 101 Ukrop Way, Williamsburg, Virginia, USA, is Robert A M Stern. The Mason School of Business are the current occupants of Alan B Miller Hall."";""The Alan B. Miller Hall was designed by Robert A.M. Stern. The current tenant of the Alan B. Miller Hall is the Mason School of Business. The Alan B. Miller Hall is located at """"101 Ukrop Way,"""" Williamsburg, Virginia, in the United States."";""Robert A.M. Stern was the designer of Alan B. Miller Hall which is at 101 Ukrop Way. The Mason School of Business are the current tenants of the Hall which is located in Virginia in Williamsburg, USA.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, is located in Williamsburg, Virginia, and  which is located in United States."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,completionDate,2009-06-01);(Alan B. Miller Hall,location,Virginia)","""The Mason School of Business are the current tenants of Alan B Miller Hall (located in Virginia). It was designed by Robert A.M Stern and was completed on 1st June 2009."";""The Mason School of Business are the current tenants of Alan B Miller Hall, which is located in Virginia and which was designed by Robert A. M. Stern and completed June 1, 2009."";""Robert A.M. Stern was the architect who designed Alan B. Miller Hall, which was completed on June 1st, 2009. The current tenant of the Hall, located in Virginia, is the Mason School of Business.""","Alan B. Miller Hall was designed by Robert A. M. Stern, is currently tenanted by Mason School of Business, was completed in 2009-06-01, and is located in Virginia."
"(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,location,Virginia);(Alan B. Miller Hall,owner,College of William & Mary)","""The College of William and Mary is the owner of the Alan B. Miller Hall, located at 101 Ukrop Way in Virginia."";""Alan B. Miller Hall is on 101 Ukrop way (in Virginia) and owned by the College of William and Mary."";""Alan B. Miller Hall, which is located at 101 Ukrop Way, Virginia, is owned by the College of William and Mary.""","Alan B. Miller Hall is located at 101 Ukrop Way, is located in Virginia, and is owned by College of William & Mary."
"(Alan B. Miller Hall,architect,Robert A. M. Stern);(Alan B. Miller Hall,address,""101 Ukrop Way"");(Alan B. Miller Hall,buildingStartDate,""30 March 2007"");(Alan B. Miller Hall,currentTenants,Mason School of Business);(Alan B. Miller Hall,completionDate,2009-06-01);(Mason School of Business,country,United States);(Alan B. Miller Hall,owner,College of William & Mary)","""The Mason School of Business is located in the United States at the College of William and Mary owned Alan B. Miller Hall, which was designed by architect Robert A.M. Stern. The hall, which was completed on the 1st of June, 2009, can be found at 101 Ukrop Way and began construction on the 30th of March, 2007."";""The architect of the Alan B Miller Hall, which is at 101 Ukrop Way, USA, is Robert A M Stern. They started to build the Alan B Miller Hall on the 30th of March, 2007 and it was finished on the 1st of June 2009.The Mason School of Business are the current tenants of the building which is owned by The College of William and Mary."";""The College of William and Mary own the Alan B. Miller Hall situated at 101 Ukrop Way, USA. The building, which was designed by architect Robert A.M. Stern, currently houses The Mason School of Business and was constructed between the 30th of March 2007 and the 1st of June 2009.""","Alan B. Miller Hall was built between 30 March 2007 and 2009-06-01, and was designed by Robert A. M. Stern, is located at 101 Ukrop Way, is currently tenanted by Mason School of Business, is located in United States, is owned by College of William & Mary."
